Date,Open,High,Low,Close
1/2/2007,117.94,118.88,117.28,118.28
1/3/2007,117.94,119.82,116.72,119.34
1/4/2007,119.83,120.77,116.74,117.28
1/5/2007,117.09,118.68,116.35,117.38
1/8/2007,117.83,117.83,113.89,114.51
1/9/2007,115.1,115.34,110.5,110.85
1/10/2007,110.49,110.96,106.89,107.22
1/11/2007,108.03,109.35,106.81,108.26
1/12/2007,109.64,116.64,109.45,115.62
1/15/2007,116.53,116.53,114.08,115.32
1/16/2007,118.41,118.41,113.61,114.15
1/17/2007,115.01,116.43,114.46,115.35
1/18/2007,115.68,118.32,115.49,115.96
1/19/2007,120.98,120.98,114.17,115.14
1/22/2007,114.92,116.24,114.92,115.54
1/23/2007,115.59,116.22,110.11,110.77
1/24/2007,110.77,111.81,108.42,110.63
1/25/2007,110.89,111.43,109.68,111
1/29/2007,112.28,112.28,108.6,109.08
1/31/2007,109.64,111.33,106.88,107.6
2/1/2007,109.26,116.05,107.16,113.51
2/2/2007,114.64,114.87,110.69,111.43
2/5/2007,110.96,113.88,110.43,112.94
2/6/2007,113.69,114.17,112.3,112.89
2/7/2007,112.75,113.58,111.84,112.75
2/8/2007,112.75,115.01,112.47,113.72
2/9/2007,113.79,114.61,111.25,113.19
2/12/2007,113.19,113.58,110.58,111.68
2/13/2007,111.61,113.18,109.27,110.71
2/14/2007,108.5,109.44,102.39,104
2/15/2007,104.78,108.41,104.78,105.92
2/19/2007,106.43,107.47,105.69,106.82
2/20/2007,106.82,108.01,104.26,104.52
2/21/2007,103.76,105.49,102.9,104.34
2/22/2007,104.26,104.92,100.96,101.72
2/23/2007,107.09,107.09,98.22,99.84
2/26/2007,100.96,104.34,98.32,102.69
2/27/2007,102.94,108.41,100.2,100.88
2/28/2007,91.67,103.6,91.66,98.3
3/1/2007,98.31,100.11,95.86,99.6
3/2/2007,97.65,101.37,93.51,94.81
3/5/2007,94.26,94.64,90.11,90.82
3/6/2007,94.26,94.26,91.05,93.22
3/7/2007,94.16,94.51,89.1,90.99
3/8/2007,93.31,95.39,90.87,94.29
3/9/2007,94.46,96.62,91.99,92.72
3/12/2007,93.41,94.45,91.54,91.92
3/13/2007,92.37,93.36,91.16,92.5
3/14/2007,90.58,91.52,88.88,89.45
3/15/2007,90.11,91.02,86.59,87
3/16/2007,87.28,87.72,84.74,86.2
3/19/2007,87.26,87.74,85.59,87.42
3/20/2007,87.75,90.58,87.75,89.86
3/21/2007,90.11,93.25,89.27,92.74
3/22/2007,93.6,97.65,93.6,97.13
3/23/2007,97.56,98.4,95.58,96.82
3/26/2007,97.18,98.11,95.11,95.64
3/28/2007,94.92,95.27,91.27,91.87
3/29/2007,91.9,94.45,90.21,93
3/30/2007,93.42,94.64,93.06,93.83
4/2/2007,92.41,92.41,87.03,87.79
4/3/2007,87.28,89.35,86.33,87.44
4/4/2007,88.57,89.62,87.33,88.3
4/5/2007,88.3,90.2,87.28,89.49
4/9/2007,89.87,93.88,89.87,93.3
4/10/2007,93.6,94.21,91.05,93.52
4/11/2007,93.41,94.63,92.2,92.6
4/12/2007,92.28,92.28,90.6,91.33
