,Open,High,Low,Close,Candlestick,Date
0,117.94,118.88,117.28,118.28,Undefined,1/2/2007
1,117.94,119.82,116.72,119.34,Undefined,1/3/2007
2,119.83,120.77,116.74,117.28,Undefined,1/4/2007
3,117.09,118.68,116.35,117.38,Undefined,1/5/2007
4,117.83,117.83,113.89,114.51,Undefined,1/8/2007
5,115.1,115.34,110.5,110.85,Undefined,1/9/2007
6,110.49,110.96,106.89,107.22,Undefined,1/10/2007
7,108.03,109.35,106.81,108.26,Undefined,1/11/2007
8,109.64,116.64,109.45,115.62,Undefined,1/12/2007
9,116.53,116.53,114.08,115.32,Undefined,1/15/2007
10,118.41,118.41,113.61,114.15,Undefined,1/16/2007
11,115.01,116.43,114.46,115.35,Undefined,1/17/2007
12,115.68,118.32,115.49,115.96,Gravestone Doji,1/18/2007
13,120.98,120.98,114.17,115.14,Undefined,1/19/2007
14,114.92,116.24,114.92,115.54,Undefined,1/22/2007
15,115.59,116.22,110.11,110.77,Undefined,1/23/2007
16,110.77,111.81,108.42,110.63,Doji,1/24/2007
17,110.89,111.43,109.68,111,Doji,1/25/2007
18,112.28,112.28,108.6,109.08,Undefined,1/29/2007
19,109.64,111.33,106.88,107.6,Undefined,1/31/2007
20,109.26,116.05,107.16,113.51,Undefined,2/1/2007
21,114.64,114.87,110.69,111.43,Undefined,2/2/2007
22,110.96,113.88,110.43,112.94,Undefined,2/5/2007
23,113.69,114.17,112.3,112.89,Undefined,2/6/2007
24,112.75,113.58,111.84,112.75,Undefined,2/7/2007
25,112.75,115.01,112.47,113.72,Undefined,2/8/2007
26,113.79,114.61,111.25,113.19,Undefined,2/9/2007
27,113.19,113.58,110.58,111.68,Undefined,2/12/2007
28,111.61,113.18,109.27,110.71,Undefined,2/13/2007
29,108.5,109.44,102.39,104,Undefined,2/14/2007
30,104.78,108.41,104.78,105.92,Undefined,2/15/2007
31,106.43,107.47,105.69,106.82,Spinning Top,2/19/2007
